Servicio,Label,Nombre_BD
apertura-llc,Nombre de la LLC - Opción 1,llcName
apertura-llc,Nombre de la LLC - Opción 2,llcNameOption2
apertura-llc,Nombre de la LLC - Opción 3,llcNameOption3
apertura-llc,Estado de Registro de la LLC,incorporationState
apertura-llc,Actividad Principal de la LLC,businessDescription
apertura-llc,Estructura Societaria,llcType
apertura-llc,LinkedIn (Opcional),linkedin
apertura-llc,Factura de Servicio (Prueba de Dirección),serviceBillUrl
apertura-llc,Resumen Bancario,bankStatementUrl
apertura-llc,¿Tendrá ingresos periódicos que suman USD 10,000 o más en los próximos tres meses?,periodicIncome10k
apertura-llc,Correo Electrónico Vinculado a la Cuenta Bancaria,bankAccountLinkedEmail
apertura-llc,Número de Teléfono Vinculado a la Cuenta Bancaria,bankAccountLinkedPhone
apertura-llc,Actividad financiera esperada,actividadFinancieraEsperada
apertura-llc,URL del Proyecto o Empresa (Opcional),projectOrCompanyUrl
renovacion-llc,Nombre de la LLC,llcName
renovacion-llc,Estado de Registro de la LLC,state
renovacion-llc,Estructura Societaria,llcType
renovacion-llc,Actividad Principal de la LLC,mainActivity
renovacion-llc,¿Tu empresa posee o renta alguna propiedad inmobiliaria en Estados Unidos?,hasPropertyInUSA
renovacion-llc,¿Tu empresa almacena productos físicos en un depósito en Estados Unidos?,almacenaProductosDepositoUSA
renovacion-llc,¿Tu empresa contrata servicios de personas o empresas de Estados Unidos regularmente (excluyendo freelancers)?,contrataServiciosUSA
renovacion-llc,¿Tu LLC tiene cuentas bancarias a su nombre?,tieneCuentasBancarias
renovacion-llc,Número de EIN,einNumber
renovacion-llc,Fecha de creación de la LLC,llcCreationDate
renovacion-llc,Países donde la LLC realiza negocios,countriesWhereLLCDoesBusiness
renovacion-llc,¿Posee la LLC inversiones financieras o activos dentro de Estados Unidos?,hasFinancialInvestmentsInUSA
renovacion-llc,¿La LLC declaró impuestos anteriormente?,hasFiledTaxesBefore
renovacion-llc,¿La LLC se constituyó con Start Companies?,wasConstitutedWithStartCompanies
renovacion-llc,Declaración Inicial,declaracionInicial
renovacion-llc,Declaración del año corriente (2025),declaracionAnoCorriente
renovacion-llc,Cambio de dirección y de Registered Agent (RA),cambioDireccionRA
